Code point range	Block name
16800 - 16A3F	IsBamumSupplement
16A40 - 16A6F	IsMro
16A70 - 16ACF	IsTangsa
16AD0 - 16AFF	IsBassaVah
16B00 - 16B8F	IsPahawhHmong
16D40 - 16D7F	IsKiratRai
16E40 - 16E9F	IsMedefaidrin
16EA0 - 16EDF	IsBeriaErfe
16F00 - 16F9F	IsMiao
16FE0 - 16FFF	IsIdeographicSymbolsandPunctuation
17000 - 187FF	IsTangut
18800 - 18AFF	IsTangutComponents
18B00 - 18CFF	IsKhitanSmallScript
18D00 - 18D7F	IsTangutSupplement
18D80 - 18DFF	IsTangutComponentsSupplement
1AFF0 - 1AFFF	IsKanaExtended-B
1B000 - 1B0FF	IsKanaSupplement
1B100 - 1B12F	IsKanaExtended-A
1B130 - 1B16F	IsSmallKanaExtension
1B170 - 1B2FF	IsNushu
1BC00 - 1BC9F	IsDuployan
1BCA0 - 1BCAF	IsShorthandFormatControls
1CC00 - 1CEBF	IsSymbolsforLegacyComputingSupplement
1CEC0 - 1CEFF	IsMiscellaneousSymbolsSupplement
1CF00 - 1CFCF	IsZnamennyMusicalNotation
1D000 - 1D0FF	IsByzantineMusicalSymbols
1D100 - 1D1FF	IsMusicalSymbols
1D200 - 1D24F	IsAncientGreekMusicalNotation
1D2C0 - 1D2DF	IsKaktovikNumerals
1D2E0 - 1D2FF	IsMayanNumerals
1D300 - 1D35F	IsTaiXuanJingSymbols
1D360 - 1D37F	IsCountingRodNumerals
1D400 - 1D7FF	IsMathematicalAlphanumericSymbols
1D800 - 1DAAF	IsSuttonSignWriting
1DF00 - 1DFFF	IsLatinExtended-G
1E000 - 1E02F	IsGlagoliticSupplement
1E030 - 1E08F	IsCyrillicExtended-D
1E100 - 1E14F	IsNyiakengPuachueHmong
1E290 - 1E2BF	IsToto
1E2C0 - 1E2FF	IsWancho
1E4D0 - 1E4FF	IsNagMundari
1E5D0 - 1E5FF	IsOlOnal
1E6C0 - 1E6FF	IsTaiYo
1E7E0 - 1E7FF	IsEthiopicExtended-B
1E800 - 1E8DF	IsMendeKikakui
1E900 - 1E95F	IsAdlam
